"province";"sex";"nationality";"age";"house_size";"type_contract";"single";"married";"separated";"widowed";"divorced";"edu0";"edu1";"edu2";"edu3";"eq_house_disp_inc";"house_cost"
12;1;1;33;1;1;1;0;0;0;0;0;0;0;1;28107;92
12;0;1;42;1;1;1;0;0;0;0;0;0;0;1;57771;1139
12;1;1;33;2;1;1;0;0;0;0;0;0;1;0;20389,33333;667
12;1;1;46;1;1;0;0;0;0;1;0;1;0;0;23050;505
12;1;1;46;5;1;0;1;0;0;0;0;1;0;0;9304,642857;114
12;0;1;56;2;1;0;0;1;0;0;0;1;0;0;11951,33333;335
12;0;1;71;1;1;0;0;0;1;0;0;1;0;0;20020;164
12;0;1;48;1;1;1;0;0;0;0;0;0;0;1;21533;139
12;0;0;52;1;1;1;0;0;0;0;0;0;1;0;18072;414
12;1;1;40;2;1;0;1;0;0;0;0;0;1;0;23406;153
12;1;1;52;4;1;0;1;0;0;0;0;0;1;0;26903,6;273
12;1;1;44;2;1;1;0;0;0;0;0;0;0;1;31867,33333;249
12;0;1;56;4;1;0;1;0;0;0;0;0;1;0;27368,4;232
12;1;1;52;5;1;0;1;0;0;0;0;1;0;0;9526,785714;383
12;1;1;31;3;1;0;1;0;0;0;0;1;0;0;15720,55556;381
12;1;1;38;2;1;0;0;0;1;0;0;1;0;0;4290;566
12;0;1;52;1;1;1;0;0;0;0;0;0;1;0;17836;278
12;1;1;70;2;1;0;1;0;0;0;0;0;1;0;21250;383
12;1;1;41;6;1;0;1;0;0;0;0;0;0;1;17085,55556;802
12;1;1;37;3;1;0;1;0;0;0;0;0;1;0;19774,44444;104
12;0;1;76;2;1;0;0;1;0;0;0;0;1;0;21475,33333;350
12;0;1;51;3;1;0;1;0;0;0;0;0;0;1;26796;321
12;1;1;74;3;1;0;1;0;0;0;0;0;1;0;23619;297
12;1;1;66;2;1;0;1;0;0;0;0;0;1;0;26593,33333;311
12;1;0;30;5;0;0;1;0;0;0;0;0;1;0;10166,25;577
12;1;1;46;4;1;0;1;0;0;0;0;1;0;0;12356,66667;649
12;1;1;68;2;1;0;1;0;0;0;0;1;0;0;40041,33333;289
12;1;1;71;3;1;0;1;0;0;0;0;1;0;0;15149,5;325
12;1;0;63;3;1;0;1;0;0;0;0;1;0;0;7807;805
12;1;0;41;4;1;0;1;0;0;0;0;0;0;1;11958,57143;552
12;1;1;48;5;1;0;1;0;0;0;0;0;1;0;5586,538462;121
12;1;1;40;3;1;1;0;0;0;0;0;0;1;0;24342,77778;236
12;0;1;46;3;1;0;1;0;0;0;0;0;1;0;18921,11111;196
12;1;1;50;2;1;0;1;0;0;0;0;1;0;0;10837,33333;132
12;1;1;37;3;1;0;1;0;0;0;0;0;1;0;10131,11111;230
12;0;1;71;2;1;0;0;0;1;0;0;1;0;0;15430;212
12;1;1;72;2;1;0;1;0;0;0;0;0;1;0;38736;489
12;1;1;72;5;1;0;1;0;0;0;0;1;0;0;8784;253
12;1;1;49;2;1;0;1;0;0;0;0;1;0;0;11787,33333;181
12;0;1;73;4;1;0;0;0;1;0;0;1;0;0;9666,8;293
12;1;1;36;2;1;0;1;0;0;0;0;0;0;1;23036;490
12;1;0;41;1;0;1;0;0;0;0;0;0;1;0;7452;386
12;1;1;66;2;1;0;1;0;0;0;0;1;0;0;7118;601
12;1;1;63;4;1;0;1;0;0;0;0;0;1;0;29213,6;572
12;1;1;50;4;1;0;1;0;0;0;0;1;0;0;8890,4;180
12;1;1;63;3;1;0;1;0;0;0;0;1;0;0;13668,5;354
12;1;1;54;4;1;0;1;0;0;0;0;1;0;0;3941,2;298
12;1;1;45;4;1;0;1;0;0;0;0;1;0;0;18354,28571;284
12;0;1;43;3;1;0;1;0;0;0;0;1;0;0;26523,33333;597
12;0;1;54;1;1;0;0;0;0;1;0;0;0;1;21264;724
12;0;1;65;2;1;0;1;0;0;0;0;0;1;0;34219,33333;213
12;1;1;52;5;1;0;1;0;0;0;0;1;0;0;18896,78571;483
12;1;1;72;1;1;1;0;0;0;0;0;1;0;0;18329;99
12;1;1;81;2;1;0;1;0;0;0;0;0;1;0;10322;413
12;1;1;60;1;1;1;0;0;0;0;0;1;0;0;16379;36
12;1;0;27;1;1;0;0;0;0;1;0;1;0;0;15768;481
12;1;1;66;2;1;0;1;0;0;0;0;1;0;0;18908;287
12;1;1;45;3;1;0;1;0;0;0;0;0;1;0;13455;288
12;1;1;69;2;1;0;1;0;0;0;0;0;0;1;93599,33333;340
12;1;1;57;2;1;0;1;0;0;0;0;0;1;0;19390;330
12;1;1;46;1;1;0;0;0;0;1;0;0;1;0;8316;120
12;1;1;42;4;1;0;1;0;0;0;0;0;1;0;12399,52381;595
12;0;1;74;1;1;0;0;0;1;0;0;1;0;0;7252;106
12;1;1;42;5;1;0;1;0;0;0;0;1;0;0;2971,666667;145
12;1;0;48;5;0;0;1;0;0;0;0;0;1;0;11878,92857;697
12;1;1;38;4;1;0;1;0;0;0;0;0;0;1;37589,52381;290
12;0;1;61;3;1;0;0;1;0;0;0;1;0;0;11686,66667;381
12;0;1;42;1;1;1;0;0;0;0;0;1;0;0;21753;143
